Melilotus leucanthus
Melinis repens
Melinis rosea
Mentha piperita
Mercurialis annua
Metasequoia glyptostroboides
Mimosa Nilotica
Mimosa juliflora
Mimosa lebbeck
Mimosa saligna
Molucella laevis
Monachyron roseum
Monachyron tonsum
Morella cerifera
Morus alba
Morus papyrifera
Morus rubra
Myrica cerifera
Myrica gale
Nageia falcatus
Narcissus pseudonarcissus
Nerium indicum
Nerium odorum
Nerium oleander
Nicotiana tabacum
Olea americana
Olea europaea
Oryza sativa
Osmanthus americanus
Ostrya carpinifolia
Ostrya virginiana
Palma elata
Panicum barbinode
Panicum cenchroides
Panicum dactylon
Panicum densispica
Panicum equinum
Panicum erubescens
Panicum fuscescens
Panicum gongylodes
Panicum guadaloupense
Panicum hirsutissimum
Panicum jumentorum
Panicum laeve
Panicum maximum
Panicum muticum
Panicum numidianum
Panicum paraguayense
Panicum pictigluma
Panicum polygamum
Panicum polystachion
Panicum praticola
Panicum purpurascens
Panicum roseum
Panicum scaberrimum
Panicum sphacelatum
Panicum tonsum
Panicum trichocondylum
Papyrius papyriferus
Parietaria diffusa
Parietaria erecta
Parietaria judaica
Parietaria mauritanica
Parietaria officinalis
Parkinsonia florida
Parthenium hysterophorus
Pascopyrum smithii
Paspalum notatum
Patropyrum tauschii
Pelargonium zonale
Peltophorum ferrugineum
Peltophorum inerme
Peltophorum pterocarpum
Pennisetum alopecuroides
Pennisetum breve
Pennisetum ciliare
Pennisetum clandestinum
Pennisetum dasistachyum
Pennisetum erubescens
Pennisetum flavescens
Pennisetum glaucum
Pennisetum hamiltonii
Pennisetum hirsutum
Pennisetum nicaraguense
Pennisetum pallidum
Pennisetum polystachion
Pennisetum polystachyum
Pennisetum purpurascens
Pennisetum richardii
Pennisetum setosum
Pennisetum typhoides
Pennisetum uniflorum
Persica vulgaris
Phalaris aquatica
Phalaris arundinacea
Phalaroides arundinacea
Philadelphus coronarius
Phleum pratense
Phoenix canariensis
Phoenix dactylifera
Phoenix roebelenii
Phoenix sylvestris
Phragmites australis
Phragmites communis
Phytolacca dioica
Picea abies
Picea excelsa
Picea parryana
Picea pungens
Pinus australis
Pinus canadensis
Pinus chiapensis
Pinus contorta
Pinus echinata
Pinus edulis
Pinus elliottii
Pinus monticola
Pinus nigra
Pinus palustris
Pinus pinaster
Pinus pinea
Pinus ponderosa
Pinus radiata
Pinus strobus
Pinus sylvestris
Pinus taeda
Pinus virginiana
Pistacia atlantica
Pistacia cabulica
Pistacia lentiscus
Pistacia palaestina
Pistacia vera
Plantago asiatica
Plantago lanceolata
Plantago major
Platanus acerifolia
Platanus californica
Platanus glabrata
Platanus hispanica
Platanus hybrida
Platanus mexicana
Platanus occidentalis
Platanus orientalis
Platanus racemosa
Platycladus orientalis
Poa annua
Poa compressa
Poa elatior
Poa kunthii
Poa phoenix
Poa pratensis
Poa uliginosa
Podocarpus falcatus
Podocarpus gracilior
Podocarpus polystachyus
Poinciana pulcherrima
Poinciana regia
Polygonum spp
Populus alba
Populus aurea
Populus balsamifera
Populus cercidiphylla
Populus deltoides
Populus dilatata
Populus fremontii
Populus italica
Populus monilifera
Populus nigra
Populus tremuloides
Populus vancouveriana
Populus wislizeni
Primula variabilis
Prosopis glandulosa
Prosopis juliflora
Prosopsis juliflora
Prunus amygdalus
Prunus dulcis
Prunus persica
Pseudotsuga menziesii
Pseudotsuga taxifolia
Ptelea viscosa
Putranjiva roxburghii
Pyrethrum cinerariifolium
Pyrus pyrifolia
Pyrus serotina
Quercus agrifolia
Quercus alba
Quercus californica
Quercus dumosa
Quercus gambelii
Quercus garryana
Quercus glandulifera
Quercus hindsii
Quercus ilex
Quercus incana
Quercus kelloggii
Quercus lobata
Quercus macrocarpa
Quercus microcarya
Quercus mongolica
Quercus nigra
Quercus resinosa
Quercus robur
Quercus rubra
Quercus serrata
Quercus stellata
Quercus suber
Quercus velutina
Quercus virginiana
Quercus wislizenii
Racosperma pycnanthum
Racosperma salignum
Racosperma victoriae
Ranunculus sceleratus
Rhododendron spp
Rhynchelytrum repens
Rhynchelytrum roseum
Rhynchelytrum tonsum
Ricinus communis
Robinia pseudoacacia
Rosa canina
Rosa damascena
Rosa rugosa
Roystonea elata
Roystonea floridana
Roystonea regia
Rubus allegheniensis
Rumex acetosella
Rumex angiocarpus
Rumex crispus
Rumex dentatus
Rumex tenuifolius
Sabina scopulorum
Saccharum aegyptiacum
Saccharum arenicola
Saccharum biflorum
Saccharum boga
Saccharum caducum
Saccharum canaliculatum
Saccharum casi
Saccharum chinense
Saccharum glaza
Saccharum insulare
Saccharum klagha
Saccharum lota
Saccharum modhara
Saccharum officinarum
Saccharum palisotii
Saccharum propinquum
Saccharum repens
Saccharum semidecumbens
Saccharum speciossisimum
Saccharum spontaneum
Saccharum tenuis
Salix ambigua
Salix ancorifera
Salix caprea
Salix conformis
Salix crassa
Salix denudata
Salix discolor
Salix dubia
Salix falcata
Salix flavovirens
Salix fuscata
Salix lasiolepis
Salix ligustrina
Salix ludoviciana
Salix nigra
Salix prinoides
Salix purshiana
Salix sensitiva
Salix squamata
Salix viminalis
Salmalia malabarica
Salsola incanescens
Salsola kali
Salsola oppositifolia
Salsola pestifer
Salsola tragus
Salsola vermiculata
Salsola verticillata
Sambucus nigra
Sarcobatus vermiculatus
Sarothamnus scoparius
Sceura marina
Schedonorus arundinaceus
Schedonorus elatior
Schedonorus phoenix
Schinus molle
Schinus terebinthifolius
Schoenoplectus maritimus
Scirpus maritimus
Secale cereale
Senecio jacobaea
Senecio vulgaris
Senna alata
Senna occidentalis
Senna siamea
Senna tora
Sequoia sempervirens
Setaria cenchroides
Setaria erubescens
Setaria italica
Sinapis alba
Solanum lycopersicon
Solanum lycopersicum
Solidago canadensis
Solidago virgaurea
Sorghum bicolor
Sorghum contortum
Sorghum halepense
Sorghum vulgare
Spathiphyllum floribundum
Spathodea campanulata
Spathodea nilotica
